address,block,validity,multisig,option,importance
ND5E5O2MIOTBCCCEDN4N7HOCFW5JD5CMCZV7VVFT,1539932,Valid,false,yes,0.00031952855523222995
NDXKKA2CEKZEL27K5MXZ7ULHYXHLE5COPXH4YNQ2,1539930,Valid,false,yes,0.0003175402946431025
NAQKDE5COK62JHYWDEIVREYL4FFBPCWO27O7Q5EJ,1539930,Valid,false,yes,0.00015057775444224974
NCZJAGWCXPPTLFFAVZIB7DBIWDSK6GSI53AAWH7X,1531975,Multiple Vote,false,yes,0.00000942174822399652
NA62DXL3PVWBSN6XC32T5BMH2CDZYHMEUUISNWQQ,1539863,Valid,false,yes,0
NA7BMUE4XRA2ADSOYGW7UZE42HHJ7YQXP7YSKK4S,1534827,Multiple Vote,false,yes,0.00000991847965965783
NA7NUIVSIA7Y4U5W4BKJTFLEZTOBS3H3CJAWJG24,1539819,Valid,false,yes,0.000010197222094583033
NDC4KFZ5ZUEGK5G2DXHW42I6BFA6MJUXX4ZSEALU,1539750,Valid,true,yes,0.000018400076959831388
NAGYWWBFBXHIFPKYIIEBPXZOQRA3JQD4PIDXTUJO,1539734,Valid,false,yes,0.00004188291246254793
NDNTFLKPC7HSDZGWBISFI4D33F2WTBJIINEA5DX5,1539722,Valid,false,yes,0.0003881120408271546
NDC64AJMAFIZSA2OLJZWRYGFMSN7ZHZISCNMZTM5,1539662,Valid,false,yes,0.000010965609858761311
NCRQYWCY6NEXODQMZYTHYXAC5W6SYEGPQBDNSYMC,1539654,Valid,false,yes,0.00001069330031628747
NCTJ5HCJB755AX3M4S4FOURA62WJWLQPWNS7PXL7,1539647,Valid,false,yes,0.00000980141414872756
NCURKDXYWVQBKLKAGCEA44HI3ROJTZ7OEIZB4YE7,1539630,Valid,false,yes,0.00003162693918760899
NA54GNH6C2ZGB3RMY3HBROS2D2J4WO4I5WGHGZP4,1539630,Valid,false,yes,0.00003109399003709176
NCVV5FNU6AF5ZNEMWHYNRGY22TV64GOQC243ZXVG,1539610,Valid,false,yes,0.000013480910340138017
NDPDULH2RD7GUB5NEFTBKHO2PYICLEBEEJGHC6FS,1539604,Valid,false,yes,0.000009703015273307198
NBNXBI5HDFLGAOQGJ7P5N43PXMASEX6AZLO5UXIH,1539545,Valid,false,yes,0.000014614888727494847
ND45EGBNWN55OQIJNKFIP2FCH2U3MLUNJZF62EYO,1539507,Valid,false,yes,0.000012877416085247803
NANEMATZVL26LNYIBBGOZ7X2IQ57URZLEWFT63YZ,1539471,Valid,false,yes,0.00001945887636772539
NCQV52ZYFUR7NCX4NFP6IBOMFU77A77E2VHYODBJ,1539441,Valid,false,yes,0
NDABXJUMQHOPK5ZXK6HGWTZ37QC3NP6IBZLEREMM,1539410,Valid,false,yes,0.000009439599109482558
NC5WDY6QUF3RE42HQDXPKQXGJYYPJ3I2SFX4SRUS,1539387,Not a 0xem transaction,false,yes,0
NC5TLCYK4GRATE72C23T4CHNPN23BW6LVVWUXV2C,1539385,Valid,false,yes,0.00002099707587459698
NCEO42Q4PQNIQDWMZ3WIUMMCV3NAQ6FIQ2XGGCUU,1539282,Valid,false,yes,0.00008310048158005176
NAWZUUT6WMDUATCCG335BORKHSASU6B663VHXGMK,1531518,Multiple Vote,false,yes,0
NBWMVMZZ5XLMKKKOKOXFOLMSHDHPJE5V6TJSJZJS,1539249,Valid,false,yes,0
NCCRZEF36PFJVA3TK6BYZI4DZCGPTP4CE467HSCT,1539238,Valid,false,yes,0.000028205470425398612
NCDIEPAKYOBHRKEK73GMPIQHGLRORYFKZQHC55RI,1539233,Valid,false,yes,0
NDVTBACKFPE3RCJFSPEQQVOIYQ5Y3ARPZI6RFYP5,1539190,Valid,false,yes,0.000012936955950672995
NB7QMTXZQN3YYZVGP7HPMIAUIDEPUA54X4DTPIRC,1539190,Not a 0xem transaction,false,yes,0.00003795815833820168
NCYUEU7OR33P3NTFFIVOF72Y3KUCIA7QBDNZG44E,1539170,Valid,false,yes,0
ND7CSEHJYHE3VDXBPFII62CKPMLMLOTGFWEYS3LP,1539161,Valid,false,yes,0.000009644869150569591
NBBJ63OETW2E5MNBLUU4ORCCWW6LONVZICZX6GT5,1539148,Valid,false,yes,0.0004126728234966119
NB42F7MF6CPGKDIM4A3QGUJGXUKL4R7TUYKDGFB2,1539147,Valid,false,yes,0.000017098940065058428
NDSB442XZRYS6O32SV2XRONQBF7TOK2O3ZZZMN5U,1539129,Valid,false,yes,0.000009520805951144537
NAKW6E2Q2NSQZRQSTBJ2MA426QUCVESGO3OCAEPH,1539127,Valid,false,yes,0
NCUE5YFTHD7TSSPY6F7LJP3BFV33WIOR6KNZLVPV,1539099,Valid,false,yes,0
